epoch,train_loss,val_loss,sav_version
0,0.8259490502508063,0.7739499029360319,1
1,0.7522097130267941,0.7402900783639205,2
2,0.7401645507031714,0.7316052292522631,3
3,0.7358108563032764,0.7333045670860692,3
4,0.7311241340916059,0.7348824112038863,3
5,0.7288541205445228,0.7384240388870239,3
6,0.7273721447465016,0.7269147232959144,4
7,0.7263749847635191,0.7287368441882887,4
8,0.7255320601993137,0.7280244168482328,4
9,0.7237473648193984,0.7218508494527717,5
10,0.7209412873836986,0.717883711112173,6
11,0.7196595562828911,0.7234866493626645,6
12,0.719685099208564,0.7172938773506566,7
13,0.7185778147993032,0.7202382959817585,7
14,0.7180415896644369,0.7168140806649861,8
15,0.7143496290284987,0.7130322067361129,9
16,0.7125154334899277,0.7140999561861942,9
17,0.7113647213456227,0.7106417743783248,10
18,0.7076842442590591,0.7027946729409067,11
19,0.7009078231471324,0.7016654635730543,12
20,0.6963570670077676,0.6967728564613744,13
21,0.6935495005016439,0.6894572941880477,14
22,0.6901236071224102,0.6940061933115909,14
23,0.6894221938144394,0.6885173458802073,15
24,0.6871525813264456,0.6863856039549175,16
25,0.6868959258871469,0.6879846221522281,16
26,0.6862609053912916,0.687028305781515,16
27,0.6843051055021453,0.6832550130392375,17
28,0.6819617321616724,0.6804555710993315,18
29,0.6778921078520211,0.6753691083506534,19
30,0.674794720487985,0.6726374205790068,20
31,0.6744296809386091,0.6704645539584912,21
32,0.6714219917330826,0.6679514728094402,22
33,0.6704285293294673,0.668353976074018,22
34,0.6695040175092151,0.6704361445025394,22
35,0.6670109775331285,0.6701509632562336,22
36,0.6656637375117742,0.6692259299127679,22
37,0.6658925932053237,0.6690267186415823,22
38,0.6626912901276036,0.6627686349969161,23
39,0.6619022982859472,0.6572456661023591,24
40,0.6621641997705426,0.6623029501814591,24
41,0.6588165158416792,0.6579646857161271,24
42,0.6581926002139934,0.66114741563797,24
43,0.6578732465442858,0.6591616454877351,24
44,0.6557532315365753,0.6595053672790527,24
45,0.6555341978519283,0.654935866280606,25
46,0.6548247425876863,0.6547354647987768,26
47,0.6532293041547139,0.6535297343605443,27
48,0.6517946308119256,0.6506304621696473,28
49,0.6498942434439186,0.6496653914451599,29
50,0.649698807900412,0.6514317568979765,29
51,0.6487143994074815,0.6434562507428621,30
52,0.6482030050796375,0.6504071072528237,30
53,0.6460028327696504,0.6446894626868399,30
54,0.6449608818829408,0.6444604597593608,30
55,0.6425765662165414,0.6409230169497038,31
56,0.6426262359172977,0.6407841406370464,32
57,0.6412448623724151,0.6422882839253075,32
58,0.6390576782979464,0.6372478911751195,33
59,0.638345245868839,0.6322576403617859,34
60,0.6369567037325854,0.6359368600343404,34
61,0.6356831768799943,0.6380837578522531,34
62,0.6343170868025886,0.6355869795146741,34
63,0.6320144059365256,0.6312901390226264,35
64,0.6303300803167778,0.6302999327057286,36
65,0.6294438095120659,0.62879651282963,37
66,0.6296654305960002,0.6281979272240087,38
67,0.6270633107737491,0.630984313864457,38
68,0.6268874854372258,0.6284270863783987,38
69,0.6256984902404206,0.6219745121504131,39
70,0.624591985222889,0.6239114686062461,39
71,0.6225165127313625,0.6279091257798044,39
72,0.6219073697140343,0.6203482646691172,40
73,0.6196685572813826,0.6199415878245705,41
74,0.6182847119911372,0.6168254664069728,42
75,0.6174884469885575,0.6159199758579856,43
76,0.615993364861137,0.6141455782087226,44
77,0.6152893670121131,0.6144982181097332,44
78,0.6142420761069359,0.6112630298263149,45
79,0.6130375623703003,0.6129678155246534,45
80,0.6118795146021927,0.6086739201294749,46
81,0.6109233845744216,0.6076448660147817,47
82,0.6097243814440498,0.606402754156213,48
83,0.6089036118914509,0.6072802945187218,48
84,0.6075564271525333,0.6111109294389424,48
85,0.6058356340168513,0.6061313102119847,49
86,0.6065303677703902,0.603617388951151,50
87,0.6044973052035996,0.6022831578003732,51
88,0.6031231098007738,0.6038652150254501,51
89,0.6030660474509524,0.6018384105280826,52
90,0.6009791822461357,0.6034708198748137,52
91,0.6012998470786022,0.5983296532379954,53
92,0.6002443141407436,0.5988539520062899,53
93,0.5987911698413871,0.596286564124258,54
94,0.5984220572382386,0.5939710453936928,55
95,0.5970961503118102,0.5967158374033477,55
96,0.5965495601732131,0.5965192694413034,55
97,0.595106255659583,0.5947924795903657,55
98,0.5953416445799041,0.5922081313635174,56
